2024-09-23 18:03:00,489 INFO    MainThread:175310 [wandb_setup.py:_flush():77] Current SDK version is 0.18.1
2024-09-23 18:03:00,490 INFO    MainThread:175310 [wandb_setup.py:_flush():77] Configure stats pid to 175310
2024-09-23 18:03:00,490 INFO    MainThread:175310 [wandb_setup.py:_flush():77] Loading settings from /home/noahdw/.config/wandb/settings
2024-09-23 18:03:00,490 INFO    MainThread:175310 [wandb_setup.py:_flush():77] Loading settings from /home/noahdw/Personal/RL_Bot/wandb/settings
2024-09-23 18:03:00,490 INFO    MainThread:175310 [wandb_setup.py:_flush():77] Loading settings from environment variables: {}
2024-09-23 18:03:00,490 INFO    MainThread:175310 [wandb_setup.py:_flush():77] Applying setup settings: {'mode': None, '_disable_service': None}
2024-09-23 18:03:00,490 INFO    MainThread:175310 [wandb_setup.py:_flush():77] Inferring run settings from compute environment: {'program_relpath': 'example.py', 'program_abspath': '/home/noahdw/Personal/RL_Bot/example.py', 'program': '/home/noahdw/Personal/RL_Bot/example.py'}
2024-09-23 18:03:00,490 INFO    MainThread:175310 [wandb_setup.py:_flush():77] Applying login settings: {}
2024-09-23 18:03:00,490 INFO    MainThread:175310 [wandb_setup.py:_flush():77] Applying login settings: {'api_key': '***REDACTED***'}
2024-09-23 18:03:00,490 INFO    MainThread:175310 [wandb_init.py:_log_setup():532] Logging user logs to /home/noahdw/Personal/RL_Bot/wandb/run-20240923_180300-c1ffq7tk/logs/debug.log
2024-09-23 18:03:00,490 INFO    MainThread:175310 [wandb_init.py:_log_setup():533] Logging internal logs to /home/noahdw/Personal/RL_Bot/wandb/run-20240923_180300-c1ffq7tk/logs/debug-internal.log
2024-09-23 18:03:00,490 INFO    MainThread:175310 [wandb_init.py:init():616] calling init triggers
2024-09-23 18:03:00,490 INFO    MainThread:175310 [wandb_init.py:init():623] wandb.init called with sweep_config: {}
config: {'n_proc': 32, 'min_inference_size': 29, 'timestep_limit': 1000000000, 'exp_buffer_size': 150000, 'ts_per_iteration': 50000, 'standardize_returns': True, 'standardize_obs': False, 'policy_layer_sizes': (256, 256, 256), 'critic_layer_sizes': (256, 256, 256), 'ppo_epochs': 1, 'ppo_batch_size': 50000, 'ppo_minibatch_size': 50000, 'ppo_ent_coef': 0.001, 'ppo_clip_range': 0.2, 'gae_lambda': 0.95, 'gae_gamma': 0.99, 'policy_lr': 0.0003, 'critic_lr': 0.0003, 'shm_buffer_size': 8192}
2024-09-23 18:03:00,490 INFO    MainThread:175310 [wandb_init.py:init():666] starting backend
2024-09-23 18:03:00,490 INFO    MainThread:175310 [wandb_init.py:init():670] setting up manager
2024-09-23 18:03:00,491 INFO    MainThread:175310 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-09-23 18:03:00,492 INFO    MainThread:175310 [wandb_init.py:init():678] backend started and connected
2024-09-23 18:03:00,495 INFO    MainThread:175310 [wandb_init.py:init():773] updated telemetry
2024-09-23 18:03:00,497 INFO    MainThread:175310 [wandb_init.py:init():806] communicating run to backend with 90.0 second timeout
2024-09-23 18:03:00,881 INFO    MainThread:175310 [wandb_init.py:init():857] starting run threads in backend
2024-09-23 18:03:00,942 INFO    MainThread:175310 [wandb_run.py:_console_start():2459] atexit reg
2024-09-23 18:03:00,942 INFO    MainThread:175310 [wandb_run.py:_redirect():2307] redirect: wrap_raw
2024-09-23 18:03:00,943 INFO    MainThread:175310 [wandb_run.py:_redirect():2372] Wrapping output streams.
2024-09-23 18:03:00,943 INFO    MainThread:175310 [wandb_run.py:_redirect():2397] Redirects installed.
2024-09-23 18:03:00,945 INFO    MainThread:175310 [wandb_init.py:init():900] run started, returning control to user process
2024-09-23 20:07:50,478 INFO    MainThread:175310 [wandb_run.py:_finish():2158] finishing run noahdw-university-of-michigan/rlgym-ppo/c1ffq7tk
2024-09-23 20:07:50,480 INFO    MainThread:175310 [wandb_run.py:_atexit_cleanup():2422] got exitcode: 0
2024-09-23 20:07:50,480 INFO    MainThread:175310 [wandb_run.py:_restore():2404] restore
2024-09-23 20:07:50,481 INFO    MainThread:175310 [wandb_run.py:_restore():2410] restore done
2024-09-23 20:07:52,757 INFO    MainThread:175310 [wandb_run.py:_footer_history_summary_info():4037] rendering history
2024-09-23 20:07:52,759 INFO    MainThread:175310 [wandb_run.py:_footer_history_summary_info():4069] rendering summary
2024-09-23 20:07:52,763 INFO    MainThread:175310 [wandb_run.py:_footer_sync_info():3996] logging synced files
